Price,Headline,Address,Owner,Bedrooms,Bathrooms,Balconies,Super area,Price Per sqft,Status,Transaction type,Floor,Car parking,Furnished,Lifts,Descrption,Price breakup,Address2,Landmarks,Age of Construction,Price comparison,Expected rent,Monthly EMI
19.2 Lac,"1200 Sq-ft Residential Plot/Land for Sale in Celebrity Prime Eco Front , Jigani , Bangalore","for sale in Celebrity Prime Eco Front, Jigani, Bangalore","Builder
Siddharth",NA,NA,NA,NA,NA,No/Rare Powercut,New Property,NA,"1 Covered, 1 Open",NA,NA,NA,19.2 Lac,"Jigani, Bangalore - South, Karnataka",NA,Under Construction,NA,NA,NA
31.0 Lac,1 BHK 590 Sq-ft Flat,"For Sale Kengeri, Bangalore","Builder
Karthik",NA,NA,NA,590 sqft,"5,254/sqft",Under Construction,New Property,6 (Out of 6 Floors),NA,NA,NA,"Hill Crest is a luxurious and affordable residential apartment project by Sairam Dwellings located next to Vishweshwaraiah Layout 2nd Stage Bangalore OFF NICE ROAD, which is also close proximity to Kengeri Metro Station, Educational institution like Edify School, Chitrakoota School, Hill Rock School, RV Engineering College.","31.0 Lac ₹ 2,000 Monthly","Kengeri, Bangalore - West, Karnataka",NA,NA,NA,NA,NA
1.16 Cr,2 BHK 1367 Sq-ft Flat,"For Sale Kadubeesanahalli, Bangalore","Builder
Babu",2,2,NA,1367 sqft,"8,486/sqft",Ready to Move,New Property,"Vitrified, Marble",1 Covered,Unfurnished,NA,"A Home Where Everything is a Blessing. A premium gated residential cluster of 232 luxury apartments spread over a pristinely manicured ground, Bhuvi by Amsha offers varying sizes of homes across an elegant high rise 8 blocks of 8 floors each. It's a home that you'll be proud to call yours. Topped with excellent facilities, ample parking space and an expensive clubhouse, Bhuvi is a unique blend of contemporary architecture and Vaastu compliance.","1.16 Cr ₹ 2,000 Monthly","Kadubeesanahalli, Bangalore - East, Karnataka",NA,NA,NA,NA,NA
95.1 Lac,3 BHK 1428 Sq-ft Flat,"For Sale Thambuchetty Palya, Bangalore","Builder
Banupriya",3,2,NA,1428 sqft,"6,660/sqft",Under Construction,New Property,14,None,NA,NA,Sun & Sanctum is a tall stepped architectural delight creating a unique skyline in the otherwise teeming city. The project is spread across 4 acres with 69% open space and a wide range of modern amenities to choose from. Experience elevated living in the heart of it all. Every sqft of the project is designed to allow for individualistic lifestyles while incorporating the essence of a community.,"95.1 Lac ₹ 3,000 Monthly","Thambuchetty Palya, Bangalore - East, Karnataka",NA,NA,NA,NA,NA
45.5 Lac,3 BHK 1300 Sq-ft Flat,"For Sale Electronic City Phase 2, Bangalore","Builder
Kiran Kumar",3 See Dimension,2,NA,1300 sqft,"3,500/sqft",Under Construction,New Property,Vitrified,1 Covered,NA,NA,"Sri Nandana Royal is developed by Sri Nandana Builders with an impeccable Reputation for quality, integrity and on Schedule Delivery. The Apartment is located in Electronic city Phase 2 Easily accessible, to all the Major IT Parks in Electronic city Like Infosys, Wipro, HP, CGS and many more.","45.5 Lac ₹ 30,000 Yearly","Electronic City Phase 2, Bangalore - South, Karnataka",NA,NA,NA,NA,NA
74.6 Lac,2 BHK 1150 Sq-ft Flat,"For Sale Bellandur, Bangalore","Builder
Nikhar Aventino",2 See Dimension,2,2,1150 sqft,"6,487/sqft",Under Construction,New Property,Vitrified,1 Covered,NA,NA,"Luxury takes on a new definition at Nikhar Aventino. Be it Picture-Perfect interiors, aesthetically designed structures, Innovative ideas in space management or the understated elegance of fine finishes, this is where unmatched essentials of good living create an ambience for happiness and fine living.",74.6 Lac,"Bellandur, Bangalore - East, Karnataka",NA,NA,NA,NA,NA
79.9 Lac,3 BHK 1758 Sq-ft Flat,"For Sale Kanakapura Road, Bangalore","Builder
Jitesh",3,3,NA,1758 sqft,"4,545/sqft",Under Construction,New Property,Vitrified,None,NA,NA,Your home in the lap of nature. You will be living close to nature at Maangalya Park Avenue since we have done everything possible to reduce our carbon footprint and create a scenic environment with lush greenery and landscaped surroundings that you will feel proud to call your home.,79.9 Lac ₹ 3 Per sq. Unit Monthly,"Kanakapura Road, Bangalore - South, Karnataka",NA,NA,NA,NA,NA
7.29 Cr,4 BHK Villa,"for sale in After The Rain, Yelahanka, Bangalore","Builder
Florita Rawat",4 See Dimension,4,NA,5120 sqft,"14,238/sqft",Under Construction,New Property,Vitrified,1 Covered,NA,NA,NA,7.29 Cr,"Yelahanka, Bangalore - North, Karnataka",NA,NA,NA,NA,NA
61.9 Lac,3 BHK 1110 Sq-ft Flat,"For Sale Whitefield, Bangalore","Builder
Rajesh",3 See Dimension,3,NA,1110 sqft,"5,577/sqft",Under Construction,New Property,8 (Out of 12 Floors),NA,NA,NA,"Provident Capella is a standout and one of the most anticipated projects by Provident Group coming up in Whitefield, Bangalore. Provident Capella is planned to be skyscraper where it is planned to offer all the cutting edge especially inside the condo. This development is lounged across vast landscape and is going to offer immense open Space inside the venture to make inhabitant feel the nature very closely","61.9 Lac ₹ 24,000 Yearly","Whitefield, Bangalore - East, Karnataka",NA,NA,NA,NA,NA
37.5 Lac,2 BHK 883 Sq-ft Flat,"For Sale Mysore Road, Bangalore","Builder
Rajesh",2 See Dimension,2,NA,883 sqft,"4,247/sqft",Under Construction,New Property,8 (Out of 12 Floors),NA,NA,NA,"Provident Equinox sets high standards in terms of specifications and fittings. The project uses breed construction technology which has proven results of making your home last longer, reduces noise levels and gives immaculate finish to the structures. The premise promises global brands inside and premium views outside.","37.5 Lac ₹ 2,000 Monthly","Mysore Road, Bangalore - West, Karnataka",NA,NA,NA,NA,NA
